,round,player_name,team_name,opponent_team_name,was_home,total_points
11,11,Eric Larsson,Malmö FF,Degerfors IF,False,7
12,12,Eric Larsson,Malmö FF,Mjällby AIF,False,10
13,14,Eric Larsson,Malmö FF,Halmstads BK,False,7
14,15,Eric Larsson,Malmö FF,IFK Göteborg,True,4
15,16,Eric Larsson,Malmö FF,Degerfors IF,True,1
0,1,Franz Brorsson,Malmö FF,Hammarby,True,3
1,2,Franz Brorsson,Malmö FF,BK Häcken,False,2
2,3,Franz Brorsson,Malmö FF,Östersunds FK,True,3
3,4,Franz Brorsson,Malmö FF,Djurgården,False,2
4,5,Franz Brorsson,Malmö FF,Varbergs BoIS,True,1
5,6,Franz Brorsson,Malmö FF,AIK,False,4
6,7,Franz Brorsson,Malmö FF,Kalmar FF,True,1
7,7,Franz Brorsson,Malmö FF,IF Elfsborg,True,2
8,8,Franz Brorsson,Malmö FF,Örebro SK,False,1
9,9,Franz Brorsson,Malmö FF,IFK Norrköping,False,2
10,10,Franz Brorsson,Malmö FF,IK Sirius,True,6
11,11,Franz Brorsson,Malmö FF,Degerfors IF,False,6
12,12,Franz Brorsson,Malmö FF,Mjällby AIF,False,7
13,14,Franz Brorsson,Malmö FF,Halmstads BK,False,8
14,15,Franz Brorsson,Malmö FF,IFK Göteborg,True,0
15,16,Franz Brorsson,Malmö FF,Degerfors IF,True,6
0,1,Felix Beijmo,Malmö FF,Hammarby,True,0
1,2,Felix Beijmo,Malmö FF,BK Häcken,False,0
2,3,Felix Beijmo,Malmö FF,Östersunds FK,True,0
3,4,Felix Beijmo,Malmö FF,Djurgården,False,0
4,5,Felix Beijmo,Malmö FF,Varbergs BoIS,True,2
5,6,Felix Beijmo,Malmö FF,AIK,False,0
6,7,Felix Beijmo,Malmö FF,Kalmar FF,True,4
7,7,Felix Beijmo,Malmö FF,IF Elfsborg,True,0
8,8,Felix Beijmo,Malmö FF,Örebro SK,False,3
9,9,Felix Beijmo,Malmö FF,IFK Norrköping,False,2
10,10,Felix Beijmo,Malmö FF,IK Sirius,True,6
11,11,Felix Beijmo,Malmö FF,Degerfors IF,False,1
12,12,Felix Beijmo,Malmö FF,Mjällby AIF,False,1
13,14,Felix Beijmo,Malmö FF,Halmstads BK,False,5
14,15,Felix Beijmo,Malmö FF,IFK Göteborg,True,1
